Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,41
design__inferred_latch__count,0
design__instance__count,3813
design__instance__area,30551.8
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,3
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,3
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0004957028431817889
power__switching__total,0.00016544068057555705
power__leakage__total,3.2773446179135135e-08
power__total,0.000661176280118525
clock__skew__worst_hold__corner:nom_tt_025C_1v80,0.516065
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.516065
timing__hold__ws__corner:nom_tt_025C_1v80,0.325348
timing__setup__ws__corner:nom_tt_025C_1v80,8.778948
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0.0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.325348
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,8.778948
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,47
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,3
design__max_cap_violation__count__corner:nom_ss_100C_1v60,1
clock__skew__worst_hold__corner:nom_ss_100C_1v60,0.956341
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.956341
timing__hold__ws__corner:nom_ss_100C_1v60,0.871896
timing__setup__ws__corner:nom_ss_100C_1v60,-1.628282
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-8.101711
timing__hold__wns__corner:nom_ss_100C_1v60,0.0
timing__setup__wns__corner:nom_ss_100C_1v60,-1.628282
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.871896
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,6
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-1.628282
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,6
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,3
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,0.343536
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.343536
timing__hold__ws__corner:nom_ff_n40C_1v95,0.115674
timing__setup__ws__corner:nom_ff_n40C_1v95,12.90336
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0.0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.115674
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,12.90336
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,61
design__max_fanout_violation__count,3
design__max_cap_violation__count,1
clock__skew__worst_hold,0.975534
clock__skew__worst_setup,0.334684
timing__hold__ws,0.11287
timing__setup__ws,-1.996799
timing__hold__tns,0.0
timing__setup__tns,-10.411719
timing__hold__wns,0.0
timing__setup__wns,-1.996799
timing__hold_vio__count,0
timing__hold_r2r__ws,0.11287
timing__hold_r2r_vio__count,0
timing__setup_vio__count,18
timing__setup_r2r__ws,-1.996799
timing__setup_r2r_vio__count,18
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
flow__warnings__count,1
flow__errors__count,0
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,3813
design__instance__area__stdcell,30551.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.891884
design__instance__utilization__stdcell,0.891884
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,77859.5
design__violations,0
design__instance__count__setup_buffer,2
design__instance__count__hold_buffer,97
antenna__violating__nets,3
antenna__violating__pins,3
route__antenna_violation__count,3
route__net,3376
route__net__special,2
route__drc_errors__iter:1,3293
route__wirelength__iter:1,92420
route__drc_errors__iter:2,1936
route__wirelength__iter:2,90383
route__drc_errors__iter:3,1619
route__wirelength__iter:3,90034
route__drc_errors__iter:4,438
route__wirelength__iter:4,89824
route__drc_errors__iter:5,148
route__wirelength__iter:5,89813
route__drc_errors__iter:6,17
route__wirelength__iter:6,89812
route__drc_errors__iter:7,0
route__wirelength__iter:7,89827
route__drc_errors,0
route__wirelength,89827
route__vias,26049
route__vias__singlecut,26049
route__vias__multicut,0
design__disconnected_pin__count,17
design__critical_disconnected_pin__count,0
route__wirelength__max,325.68
timing__unannotated_net__count__corner:nom_tt_025C_1v80,32
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,32
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,32
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,3
design__max_fanout_violation__count__corner:min_tt_025C_1v80,3
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,0.503586
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.503586
timing__hold__ws__corner:min_tt_025C_1v80,0.321508
timing__setup__ws__corner:min_tt_025C_1v80,8.96281
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0.0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.321508
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,8.96281
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,32
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
