Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,6
design__inferred_latch__count,0
design__instance__count,1529
design__instance__area,14418.8
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,2
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,17
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0008729250985197723
power__switching__total,0.00033707008697092533
power__leakage__total,1.63620992310598e-08
power__total,0.0012100116582587361
clock__skew__worst_hold__corner:nom_tt_025C_1v80,0.029519
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.029519
timing__hold__ws__corner:nom_tt_025C_1v80,0.318818
timing__setup__ws__corner:nom_tt_025C_1v80,10.846897
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0.0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.318818
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,inf
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,59
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,17
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,0.041597
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.041597
timing__hold__ws__corner:nom_ss_100C_1v60,0.91382
timing__setup__ws__corner:nom_ss_100C_1v60,9.439502
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0.0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.91382
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,inf
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,17
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,0.022699
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.022699
timing__hold__ws__corner:nom_ff_n40C_1v95,0.107402
timing__setup__ws__corner:nom_ff_n40C_1v95,11.170166
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0.0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.107402
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,inf
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,75
design__max_fanout_violation__count,17
design__max_cap_violation__count,1
clock__skew__worst_hold,0.04592
clock__skew__worst_setup,0.021485
timing__hold__ws,0.105898
timing__setup__ws,9.104567
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0.0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.105898
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
flow__warnings__count,1
flow__errors__count,0
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1529
design__instance__area__stdcell,14418.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.874222
design__instance__utilization__stdcell,0.874222
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,38592.3
design__violations,0
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,221
antenna__violating__nets,5
antenna__violating__pins,5
route__antenna_violation__count,5
route__net,1323
route__net__special,2
route__drc_errors__iter:1,1735
route__wirelength__iter:1,46082
route__drc_errors__iter:2,876
route__wirelength__iter:2,45555
route__drc_errors__iter:3,750
route__wirelength__iter:3,45242
route__drc_errors__iter:4,512
route__wirelength__iter:4,45226
route__drc_errors__iter:5,459
route__wirelength__iter:5,45196
route__drc_errors__iter:6,455
route__wirelength__iter:6,45194
route__drc_errors__iter:7,391
route__wirelength__iter:7,45274
route__drc_errors__iter:8,219
route__wirelength__iter:8,45246
route__drc_errors__iter:9,159
route__wirelength__iter:9,45291
route__drc_errors__iter:10,114
route__wirelength__iter:10,45244
route__drc_errors__iter:11,36
route__wirelength__iter:11,45278
route__drc_errors__iter:12,6
route__wirelength__iter:12,45296
route__drc_errors__iter:13,0
route__wirelength__iter:13,45334
route__drc_errors,0
route__wirelength,45334
route__vias,9728
route__vias__singlecut,9728
route__vias__multicut,0
design__disconnected_pin__count,13
design__critical_disconnected_pin__count,0
route__wirelength__max,339.28
timing__unannotated_net__count__corner:nom_tt_025C_1v80,35
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,35
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,35
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,2
design__max_fanout_violation__count__corner:min_tt_025C_1v80,17
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,0.028068
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.028068
timing__hold__ws__corner:min_tt_025C_1v80,0.316754
timing__setup__ws__corner:min_tt_025C_1v80,10.878302
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0.0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.316754
