Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,118
design__inferred_latch__count,0
design__instance__count,3346
design__instance__area,26465.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,7
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.002448067534714937
power__switching__total,0.002571325283497572
power__leakage__total,2.8513895244941523e-08
power__total,0.005019421223551035
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.518836
clock__skew__worst_setup__corner:nom_tt_025C_1v80,-0.518836
timing__hold__ws__corner:nom_tt_025C_1v80,0.321776
timing__setup__ws__corner:nom_tt_025C_1v80,7.288465
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0.0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.321776
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,8.871997
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,50
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,7
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.951285
clock__skew__worst_setup__corner:nom_ss_100C_1v60,-0.951285
timing__hold__ws__corner:nom_ss_100C_1v60,0.573546
timing__setup__ws__corner:nom_ss_100C_1v60,1.882812
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0.0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.935922
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,1.882812
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,7
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.346468
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,-0.346468
timing__hold__ws__corner:nom_ff_n40C_1v95,0.116675
timing__setup__ws__corner:nom_ff_n40C_1v95,7.587108
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0.0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.116675
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,9.119001
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,59
design__max_fanout_violation__count,7
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.337404
clock__skew__worst_setup,-0.978392
timing__hold__ws,0.115889
timing__setup__ws,1.664958
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0.0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.115889
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,1.664958
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
flow__warnings__count,1
flow__errors__count,0
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,3346
design__instance__area__stdcell,26465.4
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.772591
design__instance__utilization__stdcell,0.772591
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,74702.5
design__violations,0
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,51
antenna__violating__nets,1
antenna__violating__pins,1
route__antenna_violation__count,1
route__net,2909
route__net__special,2
route__drc_errors__iter:1,3608
route__wirelength__iter:1,90637
route__drc_errors__iter:2,1820
route__wirelength__iter:2,89374
route__drc_errors__iter:3,1774
route__wirelength__iter:3,88428
route__drc_errors__iter:4,557
route__wirelength__iter:4,88221
route__drc_errors__iter:5,194
route__wirelength__iter:5,88101
route__drc_errors__iter:6,21
route__wirelength__iter:6,88080
route__drc_errors__iter:7,1
route__wirelength__iter:7,88050
route__drc_errors__iter:8,0
route__wirelength__iter:8,88047
route__drc_errors,0
route__wirelength,88047
route__vias,24444
route__vias__singlecut,24444
route__vias__multicut,0
design__disconnected_pin__count,12
design__critical_disconnected_pin__count,0
route__wirelength__max,357.95
timing__unannotated_net__count__corner:nom_tt_025C_1v80,27
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,27
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,27
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,7
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.506242
clock__skew__worst_setup__corner:min_tt_025C_1v80,-0.506242
timing__hold__ws__corner:min_tt_025C_1v80,0.320788
timing__setup__ws__corner:min_tt_025C_1v80,7.329012
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0.0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.320788
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,8.879068
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,27
